"","Astro","Micro","Endo","Oligo","OPC","Inh","Exc"
"cg21301505",1,0.0555555555555556,0.909090909090909,1,1,0.982494529540481,0.984308131241084
"cg04098585",0.962962962962963,0,0.928571428571429,1,1,0.98018018018018,0.972132904608789
"cg06821009",1,0,0.818181818181818,0.923076923076923,0.833333333333333,0.986910994764398,0.992012779552716
"cg14913777",0.9375,0,0.333333333333333,0.952380952380952,1,0.979452054794521,0.986666666666667
"cg27587033",0.714285714285714,1,0.6,0,0,0.00728155339805825,0.00317460317460317
"cg10457436",1,0.0625,1,1,1,0.966426858513189,0.988252569750367
"cg01838544",0.666666666666667,0,1,0.875,0.875,0.991189427312775,0.983213429256595
"cg06638568",0.909090909090909,0,0.777777777777778,1,1,0.970037453183521,0.993166287015945
"cg14503489",0.727272727272727,0,0.666666666666667,0.95,1,0.997041420118343,0.976510067114094
"cg11810743",0.923076923076923,0.0625,0.222222222222222,1,1,0.977207977207977,0.993377483443709
"cg15997429",0.9375,0,0.4,1,1,0.986631016042781,0.98252427184466
"cg15836722",1,0.238095238095238,1,0.923076923076923,1,0.981191222570533,0.98422090729783
"cg27432242",0.666666666666667,0,0.933333333333333,1,1,0.957820738137083,0.957095709570957
"cg16302816",1,0,1,1,0.916666666666667,0.984126984126984,0.978395061728395
"cg26453169",0.933333333333333,0,0.666666666666667,0.9,1,0.976394849785408,0.990070921985816
"cg04086097",1,0,1,1,1,0.992146596858639,0.992869875222816
"cg14519350",1,0,1,1,0.818181818181818,0.988165680473373,0.98995983935743
"cg24707573",1,0,0,1,1,0.995169082125604,0.974358974358974
"cg26076724",1,0,1,1,1,0.973045822102426,0.98443579766537
"cg01585096",0.769230769230769,0.0555555555555556,0.846153846153846,0.692307692307692,0.666666666666667,0.972093023255814,0.954612005856515
"cg22280671",1,0,0.9,0.807692307692308,0.916666666666667,0.947019867549669,0.992223950233281
"cg01623438",1,0,1,1,1,0.9875,0.9629057187017
"cg02630677",0.9,0.117647058823529,0.8,0.954545454545455,0.941176470588235,0.973429951690821,0.970744680851064
"cg04932082",0.9,0,0.166666666666667,0,0,0.943438914027149,0.983988355167394
"cg15275312",1,0,1,0.952380952380952,1,0.967495219885277,0.95886524822695
"cg05126095",1,0.0769230769230769,1,1,1,0.984084880636605,0.987012987012987
"cg07625783",0.933333333333333,0.0666666666666667,0.75,1,1,0.970654627539503,0.972727272727273
"cg04130507",1,0.0555555555555556,0.352941176470588,0.916666666666667,1,0.942222222222222,0.956896551724138
"cg17478992",1,0,0.9,1,0.888888888888889,0.988212180746562,0.958791208791209
"cg12038696",0.583333333333333,0,0,0.952380952380952,0.888888888888889,0.988304093567251,0.985
"cg13404688",1,0,0.4,1,1,0.983240223463687,0.981963927855711
"cg22070880",0.9375,0,0.5,0.933333333333333,1,0.977011494252874,0.988235294117647
"cg14761246",1,0.0769230769230769,1,0.9375,1,0.983796296296296,0.983751846381093
"cg05586457",1,0.0625,0.5,1,0.857142857142857,0.965408805031447,0.962745098039216
"cg03520471",0.916666666666667,0.0714285714285714,0.588235294117647,0.928571428571429,1,0.97907949790795,0.985135135135135
"cg14784664",1,0,0.833333333333333,1,0.888888888888889,0.993421052631579,0.9957805907173
"cg23229016",0.875,0,1,0.875,1,0.978891820580475,0.981424148606811
"cg11573170",0,1,1,0,0,0.0181818181818182,0.0258751902587519
"cg09188978",1,0.125,0.833333333333333,0.916666666666667,1,0.975460122699387,0.975806451612903
"cg26502852",0.454545454545455,0,0,0.896551724137931,0.857142857142857,0.981264637002342,0.979591836734694
"cg24973993",0,0.923076923076923,0.285714285714286,0,0,0.0119617224880383,0.0206349206349206
"cg08452964",1,0,0.75,1,0.714285714285714,0.982233502538071,0.945454545454545
"cg27643022",0.95,0.1875,1,1,1,0.978540772532189,0.983050847457627
"cg21519701",1,0,0.923076923076923,1,1,0.952247191011236,0.957912457912458
"cg06764092",0.9375,0.0714285714285714,0.714285714285714,0.916666666666667,1,0.971938775510204,0.980165289256198
"cg14331899",0.958333333333333,0.133333333333333,0.875,0.9375,0.882352941176471,0.989626556016598,0.97489539748954
"cg27004182",0.631578947368421,0.0714285714285714,1,1,1,0.979848866498741,0.978896103896104
"cg09471204",0,0.764705882352941,0.666666666666667,0,0,0.00804289544235925,0.00984251968503937
"cg17713161",1,0,1,1,1,0.979955456570156,0.982068965517241
"cg03247944",1,0,0.5,1,1,0.975113122171946,0.952380952380952
"cg13332123",0.0526315789473684,1,0.866666666666667,0.2,0,0.0221130221130221,0.0219619326500732
"cg12414070",0,0.916666666666667,0.0666666666666667,0,0,0.0069284064665127,0.0174672489082969
"cg00308914",1,0,0,0.928571428571429,0.75,0.985549132947977,0.973498233215548
"cg09778867",0.909090909090909,0,0.583333333333333,0.571428571428571,1,0.962049335863378,0.980099502487562
"cg14947010",1,0,0.272727272727273,0.954545454545455,1,0.993987975951904,0.993827160493827
"cg21228270",0.529411764705882,0,0.375,0.941176470588235,0.571428571428571,0.98109243697479,0.9744
"cg14007090",0.9375,0.1875,0.666666666666667,1,1,0.975975975975976,0.986277873070326
"cg01530032",1,0,0.166666666666667,0.875,1,0.977678571428571,0.992319508448541
"cg27283514",1,0.0714285714285714,0.555555555555556,0.75,0.777777777777778,0.973300970873786,0.98019801980198
"cg02780988",1,0.133333333333333,1,0.928571428571429,1,0.972515856236786,0.976973684210526
"cg11551560",0.9,0.142857142857143,1,0.9375,1,0.982300884955752,0.984330484330484
"cg04463638",1,0.0714285714285714,0.142857142857143,0.785714285714286,0.777777777777778,0.978991596638655,0.976056338028169
"cg10268711",0.9,0,0,1,1,0.959302325581395,0.980353634577603
"cg14128315",0,0.866666666666667,0,0.166666666666667,0,0.0215982721382289,0.0265957446808511
"cg15108641",0.142857142857143,0.0714285714285714,1,0.958333333333333,0.846153846153846,0.978401727861771,0.979513444302177
"cg22513455",1,0.0714285714285714,1,0.833333333333333,0.25,0.974763406940063,0.976967370441459
"cg17883035",0.857142857142857,0.888888888888889,0.461538461538462,0.454545454545455,0,0.0724299065420561,0.00284495021337127
"cg15352829",0.916666666666667,0,1,1,1,0.984894259818731,0.977777777777778
"cg06581978",0.153846153846154,0,0.142857142857143,0,0,0.991649269311065,0.973799126637555
"cg11334165",0,0.05,0,0.0434782608695652,0.555555555555556,0.926470588235294,0.9584
"cg20784591",0.9,0,0.714285714285714,0.941176470588235,0.666666666666667,0.953125,0.953662182361734
"cg26112639",0.95,0,0.857142857142857,0.928571428571429,1,0.985781990521327,0.98989898989899
"cg05603784",0.954545454545455,0.0769230769230769,0.818181818181818,0.933333333333333,1,0.978520286396181,0.979462875197472
"cg15134583",0.909090909090909,0,1,0.96,1,0.981818181818182,0.976623376623377
"cg13559306",1,0.0769230769230769,0.285714285714286,1,1,0.976495726495726,0.982008995502249
"cg18205787",1,0,0.692307692307692,1,1,0.959899749373434,0.978625954198473
"cg03371384",1,0,0.9375,1,1,0.992628992628993,0.981651376146789
"cg13555278",0,0.916666666666667,0.25,0.153846153846154,0,0.014218009478673,0.012987012987013
"cg05040210",0.642857142857143,0,0,0.458333333333333,0.888888888888889,0.970212765957447,0.970469798657718
"cg24301930",1,0,0,1,1,0.977777777777778,0.969907407407407
"cg14500300",0.461538461538462,0,0.666666666666667,0.533333333333333,0.875,0.975155279503106,0.98109243697479
"cg04656451",0.80952380952381,0,0,1,1,0.986910994764398,0.9906191369606
"cg24641737",1,0,1,1,1,0.983372921615202,0.985185185185185
"cg19607387",0.545454545454545,0,0.272727272727273,0.181818181818182,0.666666666666667,0.888888888888889,0.904884318766067
"cg00806644",1,0,1,1,1,0.972477064220184,0.978369384359401
"cg23731089",0,1,0.642857142857143,0.25,0,0.0307017543859649,0.00297176820208024
"cg17795586",1,0,0.727272727272727,1,1,0.986220472440945,0.985468956406869
"cg11006453",0.111111111111111,1,0.6,0.6,0,0.0328638497652582,0.0046801872074883
"cg07837534",0.789473684210526,0,0.888888888888889,0.777777777777778,1,0.938837920489297,0.964356435643564
"cg08555556",0.916666666666667,0,0.285714285714286,0.9,0.928571428571429,0.975535168195719,0.976058931860037
"cg06451900",1,0.0769230769230769,0,0.916666666666667,1,0.978021978021978,0.977843426883309
"cg09039163",0.80952380952381,0.1875,1,0.947368421052632,1,0.987437185929648,0.972602739726027
"cg24222546",0.846153846153846,0,0.125,0.833333333333333,0.714285714285714,0.960869565217391,0.984572230014025
"cg12661316",1,0,0.866666666666667,0.88,1,0.984234234234234,0.988835725677831
"cg25969878",1,0.333333333333333,0.9,1,1,1,0.979695431472081
"cg10724690",0.95,0,0.8125,1,1,0.983333333333333,0.987215909090909
"cg08952844",0.894736842105263,0,1,1,1,0.991501416430595,0.981067125645439
"cg05199874",0.888888888888889,0,0.8,0.91304347826087,1,0.989082969432314,0.983050847457627
"cg22760338",0.846153846153846,0.5,0,1,1,0.987084870848708,0.987437185929648
"cg00669774",1,1,0,0.933333333333333,1,0.987220447284345,0.998003992015968
"cg10536349",0,1,0.769230769230769,0,0,0.00569259962049336,0.00549450549450549
"cg11334644",0.166666666666667,0.125,0,0.666666666666667,0.666666666666667,0.986725663716814,0.989473684210526
"cg13543473",1,0.666666666666667,0,1,0.9375,0.980582524271845,0.979865771812081
"cg19590900",0.947368421052632,0.888888888888889,0.0952380952380952,1,0.75,0.975929978118162,0.985935302390999
"cg10016647",1,0.25,0.0454545454545455,0.9375,0.6,0.968354430379747,0.976296296296296
"cg01511480",1,0.142857142857143,0.0952380952380952,0.866666666666667,1,0.984168865435356,0.988871224165342
"cg18825119",0,0.8,1,0,0,0.0150093808630394,0.0108303249097473
"cg09725286",0.333333333333333,0.571428571428571,0,0.0588235294117647,0.6,0.945564516129032,0.962616822429907
"cg11596479",0.705882352941177,1,0.0869565217391304,0.888888888888889,0.857142857142857,0.975190839694656,0.967130214917826
"cg04006133",1,0.8,0,0.777777777777778,1,0.971938775510204,0.982964224872232
"cg27403658",0.888888888888889,0.428571428571429,0.0588235294117647,1,1,0.995475113122172,0.988538681948424
"cg22572362",0.944444444444444,0.8,0.0952380952380952,0.888888888888889,1,0.970149253731343,0.981308411214953
"cg16143997",1,0.714285714285714,0,0.857142857142857,1,0.973760932944606,0.986564299424184
"cg05472587",0.928571428571429,0.571428571428571,0.105263157894737,0.769230769230769,0.833333333333333,0.993610223642173,0.996078431372549
"cg24006547",1,0.571428571428571,0.0909090909090909,0.764705882352941,0.8,0.977973568281938,0.969609261939218
"cg10889792",0.785714285714286,1,0.1,0.692307692307692,1,0.980306345733042,0.986363636363636
"cg10140454",0,0.666666666666667,0.833333333333333,0,0,0.0066815144766147,0.00150375939849624
"cg26733444",0.9375,0.8,0,0.9375,1,0.989010989010989,0.970219435736677
"cg05757757",0.0666666666666667,0.5,0.888888888888889,0.0909090909090909,0,0.00928792569659443,0.00880281690140845
"cg27641482",1,1,0.0588235294117647,0.8,0.9,0.982051282051282,0.988673139158576
"cg06963709",1,0.6,0.142857142857143,0.714285714285714,0.75,0.986301369863014,0.983050847457627
"cg13711238",1,0.833333333333333,1,0,0,0.0463576158940397,0.0161943319838057
"cg16986720",0.142857142857143,0.9,1,0.2,0,0.0166320166320166,0.0198019801980198
"cg02522367",1,1,0.0588235294117647,1,1,0.987041036717063,0.976356050069541
"cg03339668",0,1,1,0,0,0.0045766590389016,0.00154320987654321
"cg26832211",0.941176470588235,0.888888888888889,0.0588235294117647,1,1,0.985037406483791,0.981308411214953
"cg08378788",0.833333333333333,0.5,0,1,0.857142857142857,0.963718820861678,0.977044476327116
"cg00597076",0.833333333333333,0.2,0,0.96,1,0.981438515081206,0.979228486646884
"cg26245256",0,0.75,0.941176470588235,0,0,0.0343915343915344,0.00493421052631579
"cg06072822",1,1,0.0555555555555556,1,0.8,0.962962962962963,0.982935153583618
"cg00108282",1,0.8,0.111111111111111,1,1,0.981884057971015,0.990407673860911
"cg16565696",1,0,0.0526315789473684,0.944444444444444,1,0.984126984126984,0.964343598055105
"cg20568402",0.956521739130435,1,0,1,1,0.974947807933194,0.98273381294964
"cg02198988",1,1,0,0.846153846153846,0.375,0.97,0.962479608482871
"cg05721476",0.956521739130435,0.9,0.0952380952380952,0.789473684210526,0.833333333333333,0.969125214408233,0.964912280701754
"cg22862003",0.9375,0.9,0.0625,0.916666666666667,0.923076923076923,0.99203187250996,0.982432432432432
"cg11550234",1,0.1,0,1,1,0.994082840236686,0.988165680473373
"cg17095278",1,0.333333333333333,0,1,0.909090909090909,0.986206896551724,0.978947368421053
"cg21793437",1,0.142857142857143,0,1,0.857142857142857,0.990243902439024,0.969418960244648
"cg07442907",1,0.5,0,1,1,0.983606557377049,0.986915887850467
"cg14025021",0,0.555555555555556,0.882352941176471,0.0416666666666667,0,0.0202247191011236,0.00527009222661397
"cg03238702",1,0.375,0.0555555555555556,1,1,0.983783783783784,0.968304278922345
"cg02998240",0.9,0.5,0,1,0.733333333333333,0.971910112359551,0.981907894736842
"cg10772699",0.416666666666667,1,1,0,0,0.00694444444444444,0.0169491525423729
"cg00555339",1,0.2,0.15,1,1,0.973333333333333,0.983974358974359
"cg25357825",1,0.9,0.0625,1,1,0.975929978118162,0.982312925170068
"cg13679714",1,0,0.0625,0.9,1,0.992063492063492,0.985940246045694
"cg10530055",1,0.833333333333333,0.0588235294117647,0.875,0.75,0.990291262135922,0.97459584295612
"cg24509919",1,1,0,1,1,0.997142857142857,0.982174688057041
"cg26430081",0.85,0.75,0,0.941176470588235,1,0.98014888337469,0.98796992481203
"cg10601624",0.916666666666667,1,0,1,0.9,0.966745843230404,0.910029498525074
"cg03647861",0.666666666666667,1,0,0.777777777777778,1,0.987829614604463,0.976744186046512
"cg24964130",1,1,0.111111111111111,0.846153846153846,1,0.979768786127168,0.980769230769231
"cg14157052",0.947368421052632,0.8,0,1,1,0.989154013015184,0.986217457886677
"cg24182468",1,1,0.210526315789474,1,1,0.985645933014354,0.986468200270636
"cg20812722",0.818181818181818,1,0.117647058823529,0.95,1,0.981167608286252,0.986280487804878
"cg14513210",0.818181818181818,0.142857142857143,0,0.714285714285714,1,0.989130434782609,0.984320557491289
"cg07412254",1,0,0,1,1,0.975501113585746,0.966565349544073
"cg26080331",1,0.875,0.117647058823529,1,0.916666666666667,0.982698961937716,0.989224137931034
"cg18574274",0,0.333333333333333,0.0434782608695652,0,0,0.931623931623932,0.984591679506934
"cg18599955",1,0.666666666666667,0.0666666666666667,0.875,1,0.986263736263736,0.987410071942446
"cg01362515",1,0.5,0,0.777777777777778,1,0.993589743589744,0.989200863930886
"cg03059649",0.15,0.2,1,0.0666666666666667,0.25,0.0508474576271186,0.00652741514360313
"cg23949667",0.833333333333333,1,0,0.571428571428571,0.285714285714286,0.937142857142857,0.955116696588869
"cg07197059",0,0,0.05,0,0,0.984756097560976,0.982876712328767
"cg00631327",0,0.833333333333333,1,0,0,0.0216450216450216,0.0278592375366569
"cg14412967",1,0.7,0,0.933333333333333,1,0.936288088642659,0.971283783783784
"cg23965931",0,0,0.866666666666667,0,0,0.00268096514745308,0.0130932896890344
"cg03061778",0,0.714285714285714,0.944444444444444,0,0,0.0423728813559322,0.0245283018867925
"cg25144574",0.1875,0.166666666666667,0,0.941176470588235,0.571428571428571,0.974537037037037,0.977578475336323
"cg22491409",0,0,0,1,1,0.982608695652174,0.980842911877395
"cg13512948",0.695652173913043,0.8,0,0.8,0.916666666666667,0.969565217391304,0.98719590268886
"cg04759376",0.714285714285714,0,0.0526315789473684,0.545454545454545,1,0.971428571428571,0.960725075528701
"cg26306994",0.894736842105263,0,0,0.916666666666667,0.666666666666667,0.972292191435768,0.98448275862069
"cg09859040",0.625,1,0,1,1,0.983818770226537,0.991935483870968
"cg15448245",0.923076923076923,1,0.0666666666666667,1,1,0.990267639902676,0.977272727272727
"cg04208750",0,0,0.0526315789473684,0.647058823529412,0.857142857142857,0.984084880636605,0.987281399046105
"cg08973950",0.615384615384615,1,0,1,1,0.970588235294118,0.952674897119342
"cg25509467",1,0.125,0.0588235294117647,0.857142857142857,0.5,0.985111662531017,0.976635514018692
"cg13599613",0.894736842105263,0.111111111111111,0,0.782608695652174,1,0.986516853932584,0.976157082748948
"cg11880010",1,0.8,0,1,1,0.960674157303371,0.987034035656402
"cg13529291",1,0.777777777777778,0.15,1,0.8,0.959677419354839,0.977777777777778
"cg16114380",0.923076923076923,0.9,0.125,0.916666666666667,0.75,0.979423868312757,0.993489583333333
"cg02087985",0,0.666666666666667,0.941176470588235,0,0,0.0613636363636364,0.0140845070422535
"cg00748072",1,0.923076923076923,0,0.923076923076923,0.727272727272727,0.978436657681941,0.980935875216638
"cg01145903",0,0.75,0.928571428571429,0,0,0.0147783251231527,0.0093167701863354
"cg01578585",0.928571428571429,0.428571428571429,0.0625,1,0.888888888888889,0.977777777777778,0.97609561752988
"cg12016746",0.0769230769230769,0.875,0,0.692307692307692,0.888888888888889,0.988179669030733,0.993485342019544
"cg19305488",0.875,0.2,0.19047619047619,1,0.916666666666667,0.983372921615202,0.973011363636364
"cg20569893",0,0,0,1,1,0.974431818181818,0.984154929577465
"cg14140874",0.941176470588235,0.857142857142857,0,1,1,0.982857142857143,0.979460847240051
"cg09542013",0.857142857142857,0.875,0,0.833333333333333,0.888888888888889,0.985685071574642,0.984218077474892
"cg00619978",0,0.125,1,0,0,0.0118764845605701,0.0033955857385399
"cg22639242",1,0.545454545454545,0,0.916666666666667,1,0.932530120481928,0.974093264248705
"cg07019315",0.857142857142857,0.909090909090909,0.133333333333333,1,1,0.993288590604027,0.987430167597765
"cg03018679",0,0.727272727272727,0.928571428571429,0,0,0.0100200400801603,0.0097629009762901
"cg02819992",0.666666666666667,0.333333333333333,0.0588235294117647,1,0.538461538461538,0.978165938864629,0.974393530997305
"cg13794318",0.888888888888889,0.875,1,0,1,0.984198645598194,0.979913916786227
"cg22608534",0.705882352941177,0.818181818181818,1,0,1,0.982097186700767,0.980456026058632
"cg06118056",1,0.857142857142857,1,0,1,0.972704714640198,0.974747474747475
"cg22603352",1,1,1,0.0344827586206897,1,0.975903614457831,0.974160206718346
"cg14387312",0.9375,0.909090909090909,1,0,0,0.966926070038911,0.976623376623377
"cg09740313",0.785714285714286,1,0.818181818181818,0.037037037037037,0.75,0.987179487179487,0.989147286821705
